#Item	Label	Description	Site on enwiki
Q1841218	Gainsborough Central railway station		Gainsborough Central railway station
Q1945536	Whitwell railway station		Whitwell railway station
Q1967041	Creswell railway station		Creswell railway station
Q2323319	Kiveton Park railway station		Kiveton Park railway station
Q2358910	Shireoaks railway station		Shireoaks railway station
Q2400406	Langwith-Whaley Thorns railway station		Langwith-Whaley Thorns railway station
Q2412758	Shirebrook railway station		Shirebrook railway station
Q2958045	Worksop railway station		Worksop railway station
Q3448631	Kiveton Bridge railway station		Kiveton Bridge railway station
Q4770783	Anston railway station		Anston railway station
Q4873799	Bawtry railway station		Bawtry railway station
Q4878729	Beckingham railway station		Beckingham railway station
Q4896378	Bessacarr railway halt		Bessacarr Halt railway station
Q4949437	Boughton railway station		Boughton (Nottinghamshire) railway station
Q5136044	Clowne South railway station		Clowne South railway station
Q5175562	Cottam railway station		Cottam railway station
Q5184686	Creswell and Welbeck railway station		Creswell and Welbeck railway station
Q5259666	Retford railway station		Retford railway station
Q5278450	Dinnington and Laughton railway station		Dinnington and Laughton railway station
Q5338789	Edlington railway station		Edlington railway station
Q5346954	Edwinstowe railway station		Edwinstowe railway station
Q5450740	Finningley railway station		Finningley railway station
Q5458355	Fledborough railway station		Fledborough railway station
Q5517296	Gainsborough Lea Road railway station		Gainsborough Lea Road railway station
Q5685708	Haxey Junction railway station		Haxey Junction railway station
Q5685713	Haxey and Epworth railway station		Haxey and Epworth railway station
Q6407275	Killamarsh Central railway station		Killamarsh Central railway station
Q6508248	Lea railway station		Lea railway station
Q6744763	Maltby railway station		Maltby railway station
Q6880364	Misterton railway station		Misterton railway station
Q7088292	Ollerton railway station		Ollerton railway station
Q7137713	Park Drain railway station		Park Drain railway station
Q7369846	Rossington railway station		Rossington railway station
Q7439287	Scrooby railway station		Scrooby railway station
Q7498531	Shirebrook North railway station		Shirebrook North railway station
Q7577197	Spike Island		Spike Island (Doncaster)
Q7577576	Spinkhill railway station		Spinkhill railway station
Q7653125	Swallownest railway station		Swallownest railway station
Q7800689	Tickhill and Wadworth railway station		Tickhill and Wadworth railway station
Q7857202	Tuxford Central railway station		Tuxford Central railway station
Q7899076	Upperthorpe and Killamarsh railway station		Upperthorpe and Killamarsh railway station
Q7961846	Waleswood railway station		Waleswood railway station
Q7962360	Walkeringham railway station		Walkeringham railway station
Q7969650	Warmsworth railway station		Warmsworth railway station
Q7970944	Warsop railway station		Warsop railway station
Q15211018	Clowne and Barlborough railway station		Clowne and Barlborough railway station
Q15215306	Dukeries Junction railway station		Dukeries Junction railway station
Q15241548	Langwith railway station		Langwith railway station
