#Item	Label	Description	Site on enwiki
Q606903	Fiskerton railway station		Fiskerton railway station
Q2146289	Rauceby railway station		Rauceby railway station
Q2261645	Aslockton railway station		Aslockton railway station
Q2333610	Thurgarton railway station		Thurgarton railway station
Q2460860	Bleasby railway station		Bleasby railway station
Q2585835	Elton and Orston railway station		Elton and Orston railway station
Q2661734	Sleaford railway station		Sleaford railway station
Q2704279	Rolleston railway station		Rolleston railway station
Q2861300	Ancaster railway station		Ancaster railway station
Q3246476	Newark North Gate railway station		Newark North Gate railway station
Q3985747	Bottesford railway station		Bottesford railway station
Q4496900	Grantham railway station		Grantham railway station
Q4800289	Newark Castle railway station		Newark Castle railway station
Q4861121	Barkston railway station		Barkston railway station
Q4861980	Barnstone railway station		Barnstone railway station
Q4914209	Bingham Road (Notts) railway station		Bingham Road (Notts) railway station
Q4914224	Bingham railway station		Bingham railway station
Q4949007	Bottesford South railway station		Bottesford South railway station
Q5055446	Caythorpe railway station		Caythorpe railway station
Q5130127	Claypole railway station		Claypole railway station
Q5175350	Cotham railway station		Cotham railway station
Q5259633	Denton railway station		Denton railway station (Lincolnshire)
Q5596617	Grantham Ambergate Yard railway station		Grantham Ambergate Yard railway station
Q5599800	Great Ponton railway station		Great Ponton railway station
Q5654946	Harby and Stathern railway station		Harby and Stathern railway station
Q5896263	Honington railway station		Honington railway station
Q5912879	Hougham railway station		Hougham railway station
Q6508467	Leadenham railway station		Leadenham railway station
Q6672447	Long Clawson and Hose railway station		Long Clawson and Hose railway station
Q6982261	Navenby railway station		Navenby railway station
Q7306094	Redmile railway station		Redmile railway station
Q7445220	Sedgebrook railway station		Sedgebrook railway station
Q7597004	Stainby railway station		Stainby railway station
Q7966590	Waltham-on-the-Wolds railway station		Waltham-on-the-Wolds railway station
