#Item	Label	Description	Site on enwiki
Q2087472	Cattal railway station		Cattal railway station
Q2187296	Starbeck railway station		Starbeck railway station
Q2424788	Thirsk railway station		Thirsk railway station
Q2660162	Hammerton railway station		Hammerton railway station
Q2698559	Harrogate railway station		Harrogate railway station
Q2848537	Knaresborough railway station		Knaresborough railway station
Q4342481	Hornbeam Park railway station		Hornbeam Park railway station
Q4697410	Ainderby railway station		Ainderby railway station
Q4734053	Alne railway station		Alne railway station
Q4850396	Baldersby railway station		Baldersby railway station
Q4878983	Bedale railway station		Bedale railway station
Q5179989	Coxwold railway station		Coxwold railway station
Q5327532	Easingwold railway station		Easingwold railway station
Q5666416	Harrogate Line		Harrogate Line
Q5949950	Husthwaite Gate railway station		Husthwaite Gate railway station
Q6516322	Leeming Bar railway station		Leeming Bar railway station
Q7439362	Scruton railway station		Scruton railway station
Q15264674	Otterington railway station		Otterington railway station
